#,Album Number,Album Name,Album Release Date,Track Number,Track Name,Lyrics,lyrics_clean,siebert/sentiment-roberta-large-english_sentiment,siebert/sentiment-roberta-large-english_score,cardiffnlp/twitter-roberta-base-sentiment_sentiment,cardiffnlp/twitter-roberta-base-sentiment_score,jialicheng/electra-base-imdb_sentiment,jialicheng/electra-base-imdb_score,textattack/albert-base-v2-SST-2_sentiment,textattack/albert-base-v2-SST-2_score,dipawidia/xlnet-base-cased-product-review-sentiment-analysis_sentiment,dipawidia/xlnet-base-cased-product-review-sentiment-analysis_score,nlptown/bert-base-multilingual-uncased-sentiment_sentiment,nlptown/bert-base-multilingual-uncased-sentiment_score,distilbert-base-uncased-finetuned-sst-2-english_sentiment,distilbert-base-uncased-finetuned-sst-2-english_score,vader_sentiment
1,1,Parachutes ,2000,1,Don't Panic,"Bones, sinking like stones
All that we fought for
Homes, places we've grown
All of us are done for
And we live in a beautiful world
Yeah, we do, yeah, we do
We live in a beautiful world
♪
Bones, sinking like stones
All that we fought for
And homes, places we've grown
All of us are done for (done for)
And we live in a beautiful world
Yeah, we do, yeah, we do
We live in a beautiful world
♪
And we live in a beautiful world
Yeah, we do, yeah, we do
We live in a beautiful world
♪
Oh, all that I know
There's nothing here to run from
'Cause yeah, everybody here's
Got somebody to lean on","bones, sinking like stones
all that we fought for
homes, places we've grown
all of us are done for
and we live in a beautiful world
yeah, we do, yeah, we do
we live in a beautiful world
♪
bones, sinking like stones
all that we fought for
and homes, places we've grown
all of us are done for (done for)
and we live in a beautiful world
yeah, we do, yeah, we do
we live in a beautiful world
♪
and we live in a beautiful world
yeah, we do, yeah, we do
we live in a beautiful world
♪
oh, all that i know
there's nothing here to run from
'cause yeah, everybody here's
got somebody to lean on",POSITIVE,0.9986007809638977,UNKNOWN,0.7500860691070557,POSITIVE,0.9981202483177185,POSITIVE,0.9358599781990051,POSITIVE,0.9408962726593018,UNKNOWN,0.3944966495037079,POSITIVE,0.9925053119659424,0.9892
2,1,Parachutes ,2000,2,Shiver,"So I look in your direction
But you pay me no attention, do you?
♪
I know, you don't listen to me
'Cause you say, you see straight through me, don't you?
But on and on, from the moment I wake
'Til the moment I sleep
I'll be there by your side
Just you try and stop me
I'll be waiting in line
Just to see if you care
Oh, did you want me to change?
Well, I changed for good
And I want you to know
That you'll always get your way
I wanted to say
Don't you shiver
Shiver
Sing it loud and clear
I'll always be waiting for you
So you know how much I need you
But you never even see me, do you?
And is this my final chance of getting you
♪
But on and on, from the moment I wake
'Til the moment I sleep
I'll be there by your side
Just you try and stop me
I'll be waiting in line
Just to see if you care
If you care
Oh, did you want me to change?
Well, I changed for good
And I want you to know
That you'll always get your way
And I wanted to say
Don't you shiver
Don't you shiver
Sing it loud and clear
I'll always be waiting for you
♪
Yeah, I'll always be waiting for you
Yeah, I'll always be waiting for you
Yeah, I'll always be waiting for you
For you
I will always be waiting
And it's you, I see
But you don't see me
And it's you, I hear
So loud and so clear
I sing it loud and clear
And I'll always be waiting for you
♪
So I look in your direction
But you pay me no attention
And you know how much I need you
But you never even see me","so i look in your direction
but you pay me no attention, do you?
♪
i know, you don't listen to me
'cause you say, you see straight through me, don't you?
but on and on, from the moment i wake
'til the moment i sleep
i'll be there by your side
just you try and stop me
i'll be waiting in line
just to see if you care
oh, did you want me to change?
well, i changed for good
and i want you to know
that you'll always get your way
i wanted to say
don't you shiver
shiver
sing it loud and clear
i'll always be waiting for you
so you know how much i need you
but you never even see me, do you?
and is this my final chance of getting you
♪
but on and on, from the moment i wake
'til the moment i sleep
i'll be there by your side
just you try and stop me
i'll be waiting in line
just to see if you care
if you care
oh, did you want me to change?
well, i changed for good
and i want you to know
that you'll always get your way
and i wanted to say
don't you shiver
don't you shiver
sing it loud and clear
i'll always be waiting for you
♪
yeah, i'll always be waiting for you
yeah, i'll always be waiting for you
yeah, i'll always be waiting for you
for you
i will always be waiting
and it's you, i see
but you don't see me
and it's you, i hear
so loud and so clear
i sing it loud and clear
and i'll always be waiting for you
♪
so i look in your direction
but you pay me no attention
and you know how much i need you
but you never even see me",NEGATIVE,0.997032880783081,POSITIVE,0.6411432027816772,POSITIVE,0.9995504021644592,NEGATIVE,0.6207410097122192,NEGATIVE,0.919405996799469,UNKNOWN,0.42210739850997925,NEGATIVE,0.9441146850585938,0.9929
3,1,Parachutes ,2000,3,Spies,"I awake to find no peace of mind
I said, ""How do you live as a fugitive down here""
""Where I cannot see so clear?""
I said, ""What do I know?""
""Show me the right way to go""
And the spies came out of the water
But you're feeling so bad 'cause you know
That the spies hide out in every corner
But you can't touch them, no
'Cause they're all spies
♪
They're all spies
♪
I awake to see that no one is free
We're all fugitives, look at the way we live down here
I cannot sleep from fear, no
I said, ""Which way do I turn?""
Oh, I forget everything I learn
And the spies came out of the water
And you're feeling so bad 'cause you know
That the spies hide out in every corner
But you can't touch them, no
'Cause they're all spies
♪
They're all spies
♪
And if we don't hide here
They're gonna find us
And if we don't hide now
They're gonna catch us where we sleep
Ah, and if we don't hide here
They're gonna find us
♪
And the spies came out of the water
But you're feeling so good 'cause you know
That those spies hide out in every corner
They can't touch you, no
'Cause they're just spies
♪
They're just spies
♪
They're just spies
♪
They're just spies
♪
They're just spies","i awake to find no peace of mind
i said, ""how do you live as a fugitive down here""
""where i cannot see so clear?""
i said, ""what do i know?""
""show me the right way to go""
and the spies came out of the water
but you're feeling so bad 'cause you know
that the spies hide out in every corner
but you can't touch them, no
'cause they're all spies
♪
they're all spies
♪
i awake to see that no one is free
we're all fugitives, look at the way we live down here
i cannot sleep from fear, no
i said, ""which way do i turn?""
oh, i forget everything i learn
and the spies came out of the water
and you're feeling so bad 'cause you know
that the spies hide out in every corner
but you can't touch them, no
'cause they're all spies
♪
they're all spies
♪
and if we don't hide here
they're gonna find us
and if we don't hide now
they're gonna catch us where we sleep
ah, and if we don't hide here
they're gonna find us
♪
and the spies came out of the water
but you're feeling so good 'cause you know
that those spies hide out in every corner
they can't touch you, no
'cause they're just spies
♪
they're just spies
♪
they're just spies
♪
they're just spies
♪
they're just spies",NEGATIVE,0.9952049255371094,NEGATIVE,0.5244993567466736,POSITIVE,0.9973645806312561,NEGATIVE,0.9293966889381409,NEGATIVE,0.9921276569366455,NEGATIVE,0.4836438000202179,POSITIVE,0.9677653908729553,0.2036
4,1,Parachutes ,2000,4,Sparks,"Did I drive you away?
I know what you'll say
You say, ""Oh, sing one we know""
♪
But I promise you this
I'll always look out for you
Yeah, that's what I'll do
I say, ""Ohh""
I say, ""Ohh""
♪
My heart is yours
It's you that I hold on to
Yeah, that's what I do
And I know, I was wrong
But I won't let you down
Oh, yeah, yeah, yeah, I will, yes, I will
I said, ""Ohh""
I cry, ""Ohh""
Yeah, I saw sparks
Yeah, I saw sparks
And I saw sparks
Yeah, I saw sparks
Sing it out","did i drive you away?
i know what you'll say
you say, ""oh, sing one we know""
♪
but i promise you this
i'll always look out for you
yeah, that's what i'll do
i say, ""ohh""
i say, ""ohh""
♪
my heart is yours
it's you that i hold on to
yeah, that's what i do
and i know, i was wrong
but i won't let you down
oh, yeah, yeah, yeah, i will, yes, i will
i said, ""ohh""
i cry, ""ohh""
yeah, i saw sparks
yeah, i saw sparks
and i saw sparks
yeah, i saw sparks
sing it out",POSITIVE,0.9979744553565979,POSITIVE,0.5823144912719727,POSITIVE,0.9996832609176636,POSITIVE,0.9456542134284973,NEGATIVE,0.763367235660553,UNKNOWN,0.3151376247406006,POSITIVE,0.9994662404060364,0.9761
5,1,Parachutes ,2000,5,Yellow,"Look at the stars
Look how they shine for you
And everything you do
Yeah, they were all yellow
I came along
I wrote a song for you
And all the things you do
And it was called Yellow
So then I took my turn
Oh, what a thing to have done
And it was all yellow
♪
Your skin, oh yeah, your skin and bones
Turn into something beautiful
And you know, you know I love you so
You know I love you so
♪
I swam across
I jumped across for you
Oh, what a thing to do
'Cause you were all yellow
I drew a line
I drew a line for you
Oh, what a thing to do
And it was all yellow
♪
And your skin, oh yeah, your skin and bones
Turn into something beautiful
And you know, for you, I'd bleed myself dry
For you, I'd bleed myself dry
♪
It's true
Look how they shine for you
Look how they shine for you
Look how they shine for
Look how they shine for you
Look how they shine for you
Look how they shine
Look at the stars
Look how they shine for you
And all the things that you do","look at the stars
look how they shine for you
and everything you do
yeah, they were all yellow
i came along
i wrote a song for you
and all the things you do
and it was called yellow
so then i took my turn
oh, what a thing to have done
and it was all yellow
♪
your skin, oh yeah, your skin and bones
turn into something beautiful
and you know, you know i love you so
you know i love you so
♪
i swam across
i jumped across for you
oh, what a thing to do
'cause you were all yellow
i drew a line
i drew a line for you
oh, what a thing to do
and it was all yellow
♪
and your skin, oh yeah, your skin and bones
turn into something beautiful
and you know, for you, i'd bleed myself dry
for you, i'd bleed myself dry
♪
it's true
look how they shine for you
look how they shine for you
look how they shine for
look how they shine for you
look how they shine for you
look how they shine
look at the stars
look how they shine for you
and all the things that you do",POSITIVE,0.9962389469146729,UNKNOWN,0.6013011932373047,POSITIVE,0.9990575909614563,POSITIVE,0.9174188375473022,NEGATIVE,0.6785204410552979,UNKNOWN,0.3993305265903473,POSITIVE,0.9990298748016357,0.9766
6,1,Parachutes ,2000,6,Trouble,"Oh no, I see
A spider web is tangled up with me
And I lost my head
The thought of all the stupid things I'd said
♪
Oh no, what's this?
A spider web, and I'm caught in the middle
So I turned to run
The thought of all the stupid things I'd done
And I never meant to cause you trouble
I never meant to do you wrong
I, well, if I ever caused you trouble
And oh no, I never meant to do you harm
♪
Oh no, I see
A spider web and it's me in the middle
So I twist and turn
But here am I in my little bubble?
Singing out, I never meant to cause you trouble
I never meant to do you wrong
I, well, if I ever caused you trouble
Oh no, I never meant to do you harm
♪
They spun a web for me
They spun a web for me
They spun a web for me","oh no, i see
a spider web is tangled up with me
and i lost my head
the thought of all the stupid things i'd said
♪
oh no, what's this?
a spider web, and i'm caught in the middle
so i turned to run
the thought of all the stupid things i'd done
and i never meant to cause you trouble
i never meant to do you wrong
i, well, if i ever caused you trouble
and oh no, i never meant to do you harm
♪
oh no, i see
a spider web and it's me in the middle
so i twist and turn
but here am i in my little bubble?
singing out, i never meant to cause you trouble
i never meant to do you wrong
i, well, if i ever caused you trouble
oh no, i never meant to do you harm
♪
they spun a web for me
they spun a web for me
they spun a web for me",NEGATIVE,0.9982977509498596,NEGATIVE,0.5398254990577698,NEGATIVE,0.9996596574783325,NEGATIVE,0.9885222911834717,NEGATIVE,0.9885313510894775,NEGATIVE,0.42259669303894043,NEGATIVE,0.9980535507202148,-0.9756
7,1,Parachutes ,2000,7,Parachutes,"In a haze, a stormy haze
I'll be 'round, I'll be loving you always, always
Here I am, and I'll take my time
Here I am, and I'll wait in the line always, always","in a haze, a stormy haze
i'll be 'round, i'll be loving you always, always
here i am, and i'll take my time
here i am, and i'll wait in the line always, always",POSITIVE,0.9964497089385986,UNKNOWN,0.5229976773262024,POSITIVE,0.999483585357666,POSITIVE,0.9877380132675171,NEGATIVE,0.8318038582801819,UNKNOWN,0.7392497062683105,POSITIVE,0.9997710585594177,0.5994
8,1,Parachutes ,2000,8,High Speed,"Can anybody fly this thing
♪
Before my head explodes or my head starts to ring?
♪
We've been living life inside a bubble
♪
We've been living life inside a bubble
♪
Confidence in you
Is confidence in me?
Is confidence in a higher speed?
♪
Can anybody stop this thing
♪
Before my head explodes, before my head starts to ring?
♪
We've been living life inside a bubble
♪
We've been living life inside a bubble
♪
Confidence in you
Is confidence in me?
Is confidence in a higher speed?
♪
In high speed
♪
High speed
♪
High speed, you on
High speed, you on
High speed, you on
♪
High speed","can anybody fly this thing
♪
before my head explodes or my head starts to ring?
♪
we've been living life inside a bubble
♪
we've been living life inside a bubble
♪
confidence in you
is confidence in me?
is confidence in a higher speed?
♪
can anybody stop this thing
♪
before my head explodes, before my head starts to ring?
♪
we've been living life inside a bubble
♪
we've been living life inside a bubble
♪
confidence in you
is confidence in me?
is confidence in a higher speed?
♪
in high speed
♪
high speed
♪
high speed, you on
high speed, you on
high speed, you on
♪
high speed",NEGATIVE,0.9979610443115234,POSITIVE,0.6274858713150024,NEGATIVE,0.9998942613601685,NEGATIVE,0.8549584746360779,POSITIVE,0.8022482991218567,UNKNOWN,0.45582467317581177,POSITIVE,0.9949833154678345,0.9615
9,1,Parachutes ,2000,9,We Never Change,"I want to live life and never be cruel
And I want to live life and be good to you
♪
And I want to fly and never come down
And live my life and have friends around
♪
We never change, do we?
No, no
We never learn, do we?
So I want to live in a wooden house
I want to live life and always be true
And I want to live life and be good to you
And I want to fly and never come down
And live my life and have friends around
♪
We never change, do we?
No, no
We never learn, do we?
♪
So I want to live in a wooden house
Where making more friends would be easy
♪
Oh, and I don't have a soul to save
♪
Yes, and I sin every single day
♪
We never change, do we?
♪
We never learn, do we?
♪
So I want to live in a wooden house
Where making more friends would be easy
I want to live where the sun comes out","i want to live life and never be cruel
and i want to live life and be good to you
♪
and i want to fly and never come down
and live my life and have friends around
♪
we never change, do we?
no, no
we never learn, do we?
so i want to live in a wooden house
i want to live life and always be true
and i want to live life and be good to you
and i want to fly and never come down
and live my life and have friends around
♪
we never change, do we?
no, no
we never learn, do we?
♪
so i want to live in a wooden house
where making more friends would be easy
♪
oh, and i don't have a soul to save
♪
yes, and i sin every single day
♪
we never change, do we?
♪
we never learn, do we?
♪
so i want to live in a wooden house
where making more friends would be easy
i want to live where the sun comes out",POSITIVE,0.9968127608299255,POSITIVE,0.4950619637966156,NEGATIVE,0.9993816614151001,NEGATIVE,0.6642255187034607,POSITIVE,0.6257623434066772,UNKNOWN,0.4441174566745758,NEGATIVE,0.9877372980117798,0.9874
10,1,Parachutes ,2000,10,Everything's Not Lost – Includes Hidden Track ‘Life Is For Living’,"When I counted up my demons
Saw there was one for every day
With the good ones on my shoulder
I drove the other ones away
So if you ever feel neglected
If you think that all is lost
I'll be counting up my demons, yeah
Hoping everything's not lost
♪
When you thought that it was over
You could feel it all around
And everybody's out to get you
Don't you let it drag you down
'Cause if you ever feel neglected
If you think that all is lost
I'll be counting up my demons, yeah
Hoping everything's not lost
♪
If you ever feel neglected
If you think that all is lost
I'll be counting up my demons, yeah
Hoping everything's not lost
Singing out, oh-oh-oh, yeah
Oh-oh, yeah
Oh-oh, yeah
Everything's not lost
So come on, yeah
Oh-oh, yeah
Come on, yeah
Everything's not lost
Oh-oh, yeah
Oh-oh, yeah
Oh-oh, yeah
And everything's not lost
Come on, yeah
Oh-oh, yeah
Come on, yeah
Come on, yeah
Oh-oh, yeah
Come on, yeah
Everything's not lost
Sing out, yeah
Oh-oh, yeah
Come on, yeah
And everything's not lost
Come on, yeah
Oh-oh, yeah
Sing out, yeah
And everything's not lost
♪
Now I never meant to do you wrong
That's what I came here to say
But if I was wrong, then I'm sorry
I don't let it stand in our way
'Cause my head just aches when I think of
The things that I shouldn't have done
But life is for living, we all know
And I don't want to leave it alone
Sing, ah-ah-ah
Sing, ah-ah-ah
And just sing, ah-ah-ah","when i counted up my demons
saw there was one for every day
with the good ones on my shoulder
i drove the other ones away
so if you ever feel neglected
if you think that all is lost
i'll be counting up my demons, yeah
hoping everything's not lost
♪
when you thought that it was over
you could feel it all around
and everybody's out to get you
don't you let it drag you down
'cause if you ever feel neglected
if you think that all is lost
i'll be counting up my demons, yeah
hoping everything's not lost
♪
if you ever feel neglected
if you think that all is lost
i'll be counting up my demons, yeah
hoping everything's not lost
singing out, oh-oh-oh, yeah
oh-oh, yeah
oh-oh, yeah
everything's not lost
so come on, yeah
oh-oh, yeah
come on, yeah
everything's not lost
oh-oh, yeah
oh-oh, yeah
oh-oh, yeah
and everything's not lost
come on, yeah
oh-oh, yeah
come on, yeah
come on, yeah
oh-oh, yeah
come on, yeah
everything's not lost
sing out, yeah
oh-oh, yeah
come on, yeah
and everything's not lost
come on, yeah
oh-oh, yeah
sing out, yeah
and everything's not lost
♪
now i never meant to do you wrong
that's what i came here to say
but if i was wrong, then i'm sorry
i don't let it stand in our way
'cause my head just aches when i think of
the things that i shouldn't have done
but life is for living, we all know
and i don't want to leave it alone
sing, ah-ah-ah
sing, ah-ah-ah
and just sing, ah-ah-ah",POSITIVE,0.9977957010269165,POSITIVE,0.5312879085540771,POSITIVE,0.9997180104255676,POSITIVE,0.5840495824813843,NEGATIVE,0.7505272626876831,UNKNOWN,0.3785034716129303,POSITIVE,0.987684965133667,0.8935
